,id_issue,mes_chat,SENTIMENTO,TIPO_MSG,hierarquia_4,ds_cluster_sociodemographic,ds_message,ds_message_tratada,n_palavras,sentiment,fx_sentiment
7793,16451143,2023-05-01,,,Pagamento de Boleto,"12 - Mulher, Solteira, 35 anos ou mais, cidade Pequena do Nordeste, ensino fundamental cursando ou completo","['Paguei mas o cartão não liberou','É ainda não liberou estou precisando do limite','O limite de 400','Voltar pro começo','Gostaria de saber sobre o meu limite','Pq paguei minha fatura que estava em atraso sexta feira pela amanhã','É outro assunto','No caso não vão mais liberar??']",['paguei mas o cartao nao liberou' 'e ainda nao liberou estou precisando do limite' 'o limite de ' 'voltar pro comeco' 'gostaria de saber sobre o meu limite' 'pq paguei minha fatura que estava em atraso sexta feira pela amanha' 'e outro assunto' 'no caso nao vao mais liberar '],49,-0.9388,negativo
7860,17778976,2023-07-01,,,Fatura duplicada,"14 - Homem, Casado, 35 anos ou mais, cidade Pequena do Nordeste","['Queria que vcs colocar o dinheiro do estono na minha conta Will','Paguei dois boletos','Eu tou aqui com os dois boletos PG  aqui do will','De vcs','Só um cliente bom','Aí eu vou preocupará um advogado','Vou esperar','Tem como eu manda a foto','Foram dois boletos diferente só as datas','Meu banco pagou os dois','Vou mostra tudo pq eu tenho tudo gravado e arquivo com Fotos e','Nenhuma dessas dúvidas','Um com data 24 e outro com a data 25','Eu não tou conseguindo manda o extrato para vcs vê','Mim passe um telefone para mandar os comprovante','Minha fatura','Mais tem como vc deixar esse problema  aí para vcs olhar como foi pago dois boletos do mesmo valor do mês de julho só com datas diferentes','Paguei minha fatura duplicada','Eu tenho que.vericar com vcs','Pq o dinheiro foi debitado para o will']",['queria que vcs colocar o dinheiro do estono na minha conta will' 'paguei dois boletos' 'eu tou aqui com os dois boletos pg aqui do will' 'de vcs' 'so um cliente bom' 'ai eu vou preocupara um advogado' 'vou esperar' 'tem como eu manda a foto' 'foram dois boletos diferente so as datas' 'meu banco pagou os dois' 'vou mostra tudo pq eu tenho tudo gravado e arquivo com fotos e' 'nenhuma dessas duvidas' 'um com data  e outro com a data ' 'eu nao tou conseguindo manda o extrato para vcs ve' 'mim passe um telefone para mandar os comprovante' 'minha fatura' 'mais tem como vc deixar esse problema ai para vcs olhar como foi pago dois boletos do mesmo valor do mes de julho so com datas diferentes' 'paguei minha fatura duplicada' 'eu tenho que vericar com vcs' 'pq o dinheiro foi debitado para o will'],148,-0.9062,negativo
7906,16142238,2023-05-01,,,Não reconhecimento de PIX,"19 - Mulher, 41 anos ou mais, Nordeste","['cai no golpe do pix','de todos os pix?','só minha idade e meu nome','Voltar pro começo','tomei um golpe','Falar de outra coisa','tem outro pix','a pessoa tava me pedindo o dinheiro dizendo que em seguida eu receberia o depósito','cai em um golpe do pix','o outro comprovante não deu certo','só que quando eu fui tirar o print não deu certo','Pix','mandei mensagem pra ela e ela sempre diz isso','e não recebi']",['cai no golpe do pix' 'de todos os pix ' 'so minha idade e meu nome' 'voltar pro comeco' 'tomei um golpe' 'falar de outra coisa' 'tem outro pix' 'a pessoa tava me pedindo o dinheiro dizendo que em seguida eu receberia o deposito' 'cai em um golpe do pix' 'o outro comprovante nao deu certo' 'so que quando eu fui tirar o print nao deu certo' 'pix' 'mandei mensagem pra ela e ela sempre diz isso' 'e nao recebi'],79,-0.9186,negativo
7920,16710774,2023-06-01,,,Boleto de Depósito,"29 - Mulher, Até 24 anos, Sudeste e Sul","['Como faço para enviar pelo chat','Sempre que eu quiser depositar posso imprimir o boleto','Gerei um boleto para depositar e pagai na lotérica só que até agora não caiu na conta','Beleza','Gerei um boleto ontem para depositar na conta e até agora não caiu na conta','E porque fiquei com medo pois imprimir o boleto','Falar de outra coisa','Vou enviar só um momento','Tá bom obrigada']",['como faco para enviar pelo chat' 'sempre que eu quiser depositar posso imprimir o boleto' 'gerei um boleto para depositar e pagai na loterica so que ate agora nao caiu na conta' 'beleza' 'gerei um boleto ontem para depositar na conta e ate agora nao caiu na conta' 'e porque fiquei com medo pois imprimir o boleto' 'falar de outra coisa' 'vou enviar so um momento' 'ta bom obrigada'],68,-0.9217,negativo
7931,17169587,2023-07-01,,,Gerar fatura,"2 - Mulher, Solteira, 35 anos ou mais, cidade Grande, Capital, do Nordeste","['Era para ter fechado o dia 30 mas tá com o valor lá negativo e eu não paguei ainda','Que dia minha fatura fecha?','Se por causa desse acontecimento lá que o estorno pagou meu limite vai voltar ao','Ainda tenho dúvidas','Não tá tudo bem obrigada por você me atender e me esclarecer tenha um bom dia','Não só era isso mesmo foi porque eu fiquei preocupada porque a fatura fechou lá negativo e eu não tinha pago aí eu fiquei preocupado de acontecer alguma coisa com meu cartão','Eu só queria saber se também o limite do meu cartão vai ser reduzido por conta desse estorno aí que teve','Agora esse limite que foi esse tornado aí porque o meu cartão era 2.100 aí por causa desse valor que eu comprei que foi cancelado e outras compras que eu fiz aí tava em 1300 e pouco aí eu fiz uma compra de 277 fração aí tem 1081','É que eu pensei que assim como estornou a compra que eu cancelei mas eu ia pagar o restante que eu tinha comprado eu ia pagar normal mas aí tá lá negativado']",['era para ter fechado o dia  mas ta com o valor la negativo e eu nao paguei ainda' 'que dia minha fatura fecha ' 'se por causa desse acontecimento la que o estorno pagou meu limite vai voltar ao' 'ainda tenho duvidas' 'nao ta tudo bem obrigada por voce me atender e me esclarecer tenha um bom dia' 'nao so era isso mesmo foi porque eu fiquei preocupada porque a fatura fechou la negativo e eu nao tinha pago ai eu fiquei preocupado de acontecer alguma coisa com meu cartao' 'eu so queria saber se tambem o limite do meu cartao vai ser reduzido por conta desse estorno ai que teve' 'agora esse limite que foi esse tornado ai porque o meu cartao era   ai por causa desse valor que eu comprei que foi cancelado e outras compras que eu fiz ai tava em  e pouco ai eu fiz uma compra de  fracao ai tem ' 'e que eu pensei que assim como estornou a compra que eu cancelei mas eu ia pagar o restante que eu tinha comprado eu ia pagar normal mas ai ta la negativado'],192,-0.9903,negativo
7990,16293893,2023-05-01,,,Resultado análise de fraude,"16 - Homem, 25 a 40 anos, Nordeste","['Faça esse favor por gentileza','Foi o seguinte.','Deu o prazo de 3dias','A fatura desse mês tá assim depois que perdi o cartão. Já fiz o boletim de ocorrência e envie para o Will','E fui na delegacia abrir um boletim de ocorrência','Falaram que ia ser creditado para pagar o meu cartão esse mês. Para não ser prejudicado','Não quero deixar de pagar e ir para Serasa por causa dos outros.','Até agora tou aguardando','Como fizeram comprar no meu cartão depois que perdi','Para analisar e enviar um e-mail','Vou pagar tudo isso','Fizeram uns compras no meu cartão','Agradeço','Eu perdi meu cartão','Poderia explicar','Se minha fatura era 155,78','Já que não tem jeito?','Nem o meu consentimento','O problema é que estou preocupado para  pagar a fatura do cartão cartão neste mês','Falar de outra coisa','Pra não ir para o Serasa','Do cartão?','Como faço para parcelar essa dívida então?','Como vai fica essa dívida que  fizeram','A dívida que eu ia para esse mês da minha fatura era 155,78','Depois que perdi o cartão','Se não foi eu. Como vou cancelar as compras que nem sei onde foi','Falar com uma atendente']",['faca esse favor por gentileza' 'foi o seguinte ' 'deu o prazo de dias' 'a fatura desse mes ta assim depois que perdi o cartao ja fiz o boletim de ocorrencia e envie para o will' 'e fui na delegacia abrir um boletim de ocorrencia' 'falaram que ia ser creditado para pagar o meu cartao esse mes para nao ser prejudicado' 'nao quero deixar de pagar e ir para serasa por causa dos outros ' 'ate agora tou aguardando' 'como fizeram comprar no meu cartao depois que perdi' 'para analisar e enviar um e mail' 'vou pagar tudo isso' 'fizeram uns compras no meu cartao' 'agradeco' 'eu perdi meu cartao' 'poderia explicar' 'se minha fatura era  ' 'ja que nao tem jeito ' 'nem o meu consentimento' 'o problema e que estou preocupado para pagar a fatura do cartao cartao neste mes' 'falar de outra coisa' 'pra nao ir para o serasa' 'do cartao ' 'como faco para parcelar essa divida entao ' 'como vai fica essa divida que fizeram' 'a divida que eu ia para esse mes da minha fatura era  ' 'depois que perdi o cartao' 'se nao foi eu como vou cancelar as compras que nem sei onde foi' 'falar com uma atendente'],207,-0.971,negativo
8127,15713490,2023-04-01,,,Resultado análise de fraude,"21 - Mulher, Até 24 anos, Nordeste","['Problema com compra','Responder as perguntas','Maykon eu preciso da sua ajuda. Tem essa compra em meu cartão','eu nunca comprei nesse lugar. Fiz uma contestação porém me informaram que eu teria que entrar em contato com o estabelecimento','Eu não sei onde posso visualizar o e-mail pois não houve resposta. Ao entrar em ""serviço ao cliente"" no site da Shein','me dão a opção de encaminhar um bilhete','fiz dessa forma.','Ou se em caso de demora de resposta posso emitir um boletim de ocorrência e enviar p vocês','Nunca comprei nesse lugar','Entendi','o problema é conseguir falar c eles né... Mas tudo bem','vou ficar no aguardo de me responderem. Obrigada.','Boa tarde Maykon. Estou bem e você?','É que foi uma fraude né','então eu posso emitir um boletim e enviar para vocês','Porém lá não é possível falar com um atendente','já enviei vários e-mails e não me respondem. Eu não posso pagar sem ter consumido','Compra que não fiz','Pois tô sem poder utilizar meu cartão','com limite comprometido e a loja em si não me responde','Nem emitindo um boletim de ocorrência para o local?','Sim','vou entrar em contato através das redes sociais também. Porém gostaria de saber se não é possível solicitar uma nova análise.','Olá','tenho um problema com essa compra e preciso de ajuda:  ID da compra: #0 Cartão virtual com final 3462 Ebn *shein 20/04/2023 R$ 56,36 Compra parcelada em 3x','A will informa que não pode contestar a compra','mas como? Eu nunca fiz nenhuma compra nesse lugar']","['problema com compra' 'responder as perguntas' 'maykon eu preciso da sua ajuda tem essa compra em meu cartao' 'eu nunca comprei nesse lugar fiz uma contestacao porem me informaram que eu teria que entrar em contato com o estabelecimento' 'eu nao sei onde posso visualizar o e mail pois nao houve resposta ao entrar em ""servico ao cliente"" no site da shein' 'me dao a opcao de encaminhar um bilhete' 'fiz dessa forma ' 'ou se em caso de demora de resposta posso emitir um boletim de ocorrencia e enviar p voces' 'nunca comprei nesse lugar' 'entendi' 'o problema e conseguir falar c eles ne  mas tudo bem' 'vou ficar no aguardo de me responderem obrigada ' 'boa tarde maykon estou bem e voce ' 'e que foi uma fraude ne' 'entao eu posso emitir um boletim e enviar para voces' 'porem la nao e possivel falar com um atendente' 'ja enviei varios e mails e nao me respondem eu nao posso pagar sem ter consumido' 'compra que nao fiz' 'pois to sem poder utilizar meu cartao' 'com limite comprometido e a loja em si nao me responde' 'nem emitindo um boletim de ocorrencia para o local ' 'sim' 'vou entrar em contato atraves das redes sociais tambem porem gostaria de saber se nao e possivel solicitar uma nova analise ' 'ola' 'tenho um problema com essa compra e preciso de ajuda  id da compra # cartao virtual com final  ebn *shein  r$   compra parcelada em x' 'a will informa que nao pode contestar a compra' 'mas como eu nunca fiz nenhuma compra nesse lugar']",270,-0.952,negativo
8136,16808688,2023-06-01,,,Gestão de Extrato,"27 - Homem, 25 a 40 anos, Centro-Oeste e Norte","['Agora como vou paga a fatura e só tem 02 centavo agora','Pq eu coloquei 400 reais aqui na conta e do nada ele sumiu e não fiz pix para ninguém só quero saber oque aconteceu com meu dinheiro pq eu coloquei aqui para eu paga a fatura e o dinheiro some','Pq si nós fica devendo vem em cima','?????','400 reais','E hoje o tem 02 centavo na minha conta não mandei pix para ninguém dinheiro era para eu paga a fatura do mês que vem agora é o dinheiro sumiu','Queria saber sobre meu dinheiro que sumiu aqui do nada por favor','Só queria saber como isso aconteceu porque não fiz pix para ninguém e do nada o dinheiro sumiu assim e volta so 02 centavo','Mais pq para o dinheiro sumiu foi rápido assim do nada e volto só 02 centavo','Falar de outra coisa','????','Boa tarde olha aí para vc ver sara coloquei o dinheiro domingo aqui para guarda para eu paga a fatura e ontem fui olha o dinheiro sumiu','Não só isso msm vou espera então pq não tem como sumir dinheiro assim não']",['agora como vou paga a fatura e so tem  centavo agora' 'pq eu coloquei  reais aqui na conta e do nada ele sumiu e nao fiz pix para ninguem so quero saber oque aconteceu com meu dinheiro pq eu coloquei aqui para eu paga a fatura e o dinheiro some' 'pq si nos fica devendo vem em cima' '   ' ' reais' 'e hoje o tem  centavo na minha conta nao mandei pix para ninguem dinheiro era para eu paga a fatura do mes que vem agora e o dinheiro sumiu' 'queria saber sobre meu dinheiro que sumiu aqui do nada por favor' 'so queria saber como isso aconteceu porque nao fiz pix para ninguem e do nada o dinheiro sumiu assim e volta so  centavo' 'mais pq para o dinheiro sumiu foi rapido assim do nada e volto so  centavo' 'falar de outra coisa' '  ' 'boa tarde olha ai para vc ver sara coloquei o dinheiro domingo aqui para guarda para eu paga a fatura e ontem fui olha o dinheiro sumiu' 'nao so isso msm vou espera entao pq nao tem como sumir dinheiro assim nao'],196,-0.9409,negativo
8162,15539217,2023-04-01,,,Lançamentos duplicados,"25 - Homem, 41 anos ou mais, Sudeste e Sul","['Tenho medo de da erro ai','São 2 compra de 94 porém foi a primeira que deu erro','Mandei foto ai','Já foi feito pelo meu banco','Tchau','E me cobrar esse valor','Vc acha q vai cancela então ne','Foi ontem','Aí tentei de novo deu certo o outro','Mais foi debitado e não cancelou','Ok obrigado','E o app cancelou mais aqui tá cobrando','Tem como deixa registrado aí nao','Tem q ser cancelado pois tenho comprovante ne','Mais tá cobrando ele','Esse foi cancelado','FOI CANCELADO NA MSM HORA PELO BANCO MERCADO PAGO','Como faço pra aumentar meu limite','Até mais','Aí depois tentei de novo deu certo com msm valor','Aí tá cobrando os 2 e pra cobra 1 so','Pagamento deu erro','Já tentei pelo app nega pedido']",['tenho medo de da erro ai' 'sao  compra de  porem foi a primeira que deu erro' 'mandei foto ai' 'ja foi feito pelo meu banco' 'tchau' 'e me cobrar esse valor' 'vc acha q vai cancela entao ne' 'foi ontem' 'ai tentei de novo deu certo o outro' 'mais foi debitado e nao cancelou' 'ok obrigado' 'e o app cancelou mais aqui ta cobrando' 'tem como deixa registrado ai nao' 'tem q ser cancelado pois tenho comprovante ne' 'mais ta cobrando ele' 'esse foi cancelado' 'foi cancelado na msm hora pelo banco mercado pago' 'como faco pra aumentar meu limite' 'ate mais' 'ai depois tentei de novo deu certo com msm valor' 'ai ta cobrando os  e pra cobra  so' 'pagamento deu erro' 'ja tentei pelo app nega pedido'],132,-0.9448,negativo
8191,17480117,2023-07-01,neutro,solicitacao,Não reconhecimento de PIX,"1 - Mulher, Solteira, Até 24 anos, cidade Média do Sudeste ou Sul","['Gostaria de saber se tem como eu receber estorno desse valor. Foi R$650,00.','É mais um motivo para eu desconfiar que seja golpe.','Estou quase passando mal.','Só faltava eu ter dado dinheiro para golpistas.','Conversei com uma pessoa pela Internet sobre uma compra','eu já estava desconfiada de que poderia ser golpe','falei várias coisas para o vendedor','ele percebeu a minha preocupação','mas mesmo assim me garantiu que não é golpe. Fiz o pagamento de entrada da minha compra via pix Will','e após isso notei que o vendedor está estranho comigo.','A nota fiscal que o vendedor me mandou é muito mal feita','notei a falta de profissionalismo aí também.','Pix','Estou preocupada porquê para mim R$650 é um valor alto.','As garantias do vendedor não estão batendo com o que ele tinha me falado antes.','Voltar pro começo','Falar de outra coisa']",['gostaria de saber se tem como eu receber estorno desse valor foi r$  ' 'e mais um motivo para eu desconfiar que seja golpe ' 'estou quase passando mal ' 'so faltava eu ter dado dinheiro para golpistas ' 'conversei com uma pessoa pela internet sobre uma compra' 'eu ja estava desconfiada de que poderia ser golpe' 'falei varias coisas para o vendedor' 'ele percebeu a minha preocupacao' 'mas mesmo assim me garantiu que nao e golpe fiz o pagamento de entrada da minha compra via pix will' 'e apos isso notei que o vendedor esta estranho comigo ' 'a nota fiscal que o vendedor me mandou e muito mal feita' 'notei a falta de profissionalismo ai tambem ' 'pix' 'estou preocupada porque para mim r$ e um valor alto ' 'as garantias do vendedor nao estao batendo com o que ele tinha me falado antes ' 'voltar pro comeco' 'falar de outra coisa'],154,-0.959,negativo
8238,16018818,2023-05-01,,,Boleto de Depósito,"20 - Homem, Até 24 anos, Sudeste e Sul","['Aí me mandou o comprovante','E não caiu','Meu primo me mandou o dinheiro','O dinheiro','Ele mandou tudo','Fatura do cartão','Aí eu pedi pra ele me mandar','Eu gastei dinheiro no meu cartão de crédito certo','Não terá como eu fazer o pagamento do cartão de crédito se não cair','Tá bom então','Teriam como vocês justificar aí ou fazer alguma coisa','Sujo*','Paguei e o limite não voltou','Mais até agora não caiu o dinheiro na minha conta','Porque eu não posso ficar com meu nome liso','Está ai comprovante','Depositei dinheiro na conta e não caiu ainda','Mais a culpa não é minha se o dinheiro não caiu','Eu tenho mais uma dúvida']",['ai me mandou o comprovante' 'e nao caiu' 'meu primo me mandou o dinheiro' 'o dinheiro' 'ele mandou tudo' 'fatura do cartao' 'ai eu pedi pra ele me mandar' 'eu gastei dinheiro no meu cartao de credito certo' 'nao tera como eu fazer o pagamento do cartao de credito se nao cair' 'ta bom entao' 'teriam como voces justificar ai ou fazer alguma coisa' 'sujo*' 'paguei e o limite nao voltou' 'mais ate agora nao caiu o dinheiro na minha conta' 'porque eu nao posso ficar com meu nome liso' 'esta ai comprovante' 'depositei dinheiro na conta e nao caiu ainda' 'mais a culpa nao e minha se o dinheiro nao caiu' 'eu tenho mais uma duvida'],116,-0.9698,negativo
8245,16720241,2023-06-01,,,Atendimento de terceiros,"5 - Mulher, Casada, 25 anos ou mais, cidade Grande, Capital, do Sudeste ou Sul","['Boa noite','estou tentando entrar no meu app mas não estou conseguindo','Mais de 6 vezes','É na conta do meu filho','Eu testei com outro cpf e funcionou','Ele não consegue entrar no chat com vocês por que não consegue entrar na conta dele','Nesse cpf 14761418605','Já fiz isso','O problema é na minha conta','Toda vez que coloco meu cpf e tento entrar','o aplicativo fecha automaticamente','Mas não é nessa conta','Aí tive que entrar em outra conta pra poder entrar em contato com voces','Falar de outra coisa']",['boa noite' 'estou tentando entrar no meu app mas nao estou conseguindo' 'mais de  vezes' 'e na conta do meu filho' 'eu testei com outro cpf e funcionou' 'ele nao consegue entrar no chat com voces por que nao consegue entrar na conta dele' 'nesse cpf ' 'ja fiz isso' 'o problema e na minha conta' 'toda vez que coloco meu cpf e tento entrar' 'o aplicativo fecha automaticamente' 'mas nao e nessa conta' 'ai tive que entrar em outra conta pra poder entrar em contato com voces' 'falar de outra coisa'],92,-0.9294,negativo
8278,18067074,2023-08-01,,,Não reconhecimento de PIX,"1 - Mulher, Solteira, Até 24 anos, cidade Média do Sudeste ou Sul","['Cancelar compra','Foi dia 23/07','69,22','Quero cancelar uma compra','Problema com compra','Pix','Demora muito pro atendimento?','Eu preciso cancelar um pix que eu fiz','fiz uma compra em um site falso e não recebi ele','Eu fiz um pix','de uma compra em um site falso','e não recebi o produto já contatei a empresa','e eles pediram pra mim solicitar o cancelamento com o banco','pq n recebi minha compra e eu queria o meu dinheiro de volta','foram 69,90 jogado fora😔','Não recebi a compra','Falar de outra coisa','Eu conversei com um atendente da empresa verdadeira','ele me afirmou que era um site falso e não tinha pedido nenhum no meu cpf','Voltar pro começo']",['cancelar compra' 'foi dia ' '  ' 'quero cancelar uma compra' 'problema com compra' 'pix' 'demora muito pro atendimento ' 'eu preciso cancelar um pix que eu fiz' 'fiz uma compra em um site falso e nao recebi ele' 'eu fiz um pix' 'de uma compra em um site falso' 'e nao recebi o produto ja contatei a empresa' 'e eles pediram pra mim solicitar o cancelamento com o banco' 'pq n recebi minha compra e eu queria o meu dinheiro de volta' 'foram   jogado fora' 'nao recebi a compra' 'falar de outra coisa' 'eu conversei com um atendente da empresa verdadeira' 'ele me afirmou que era um site falso e nao tinha pedido nenhum no meu cpf' 'voltar pro comeco'],123,-0.93,negativo
8286,17932930,2023-08-01,,,Faturas futuras,"27 - Homem, 25 a 40 anos, Centro-Oeste e Norte","['Eu estou com saldo com vcs?','Total da dívida né isso ?','Como assim ?','Preciso q me informe tudo sobre isso','Afinal eu estou devendo quanto no total de tudo ?','Vou procurar meus direitos OK','Não está funcionando bem ao me ver','Eu tenho alguma dívida antiga ?','Qual é o problema afinal','Vcs podem me explicar','294','Agosto e setembro','Tudo bem entendi','Pq não concluiu o pagamento q eu tentei fazer ?','Pra saber logo o total da dívida','e pq eu estou pagando e não adebate nada?','Qual a próxima fatura','Oq significa esse estorno','com esse pagamento não com sucesso','pq eu venho pagando sempre as coisas e as faturas','Tudo bem','Ahh','só essa de setembro','Pq está aparecendo estorno na minha fatura e pq mesmo assim estão me cobrando por dívida','Sempre vem pagando isso e não parece ter fim esses encargos','Paguei mas não aparece','Pq está aparecendo o sinal de menos - na frente do valor da fatura ?','Pois sempre q pagas as faturas nunca consegui me livrar de tantos custos q vem aparecendo','Ou não tem isso','Agora mesmo está dizendo q tem uma fatura aberta','Não foi autorizado','Fatura do cartão','Tenho mais alguma dívida aqui ??']",['eu estou com saldo com vcs ' 'total da divida ne isso ' 'como assim ' 'preciso q me informe tudo sobre isso' 'afinal eu estou devendo quanto no total de tudo ' 'vou procurar meus direitos ok' 'nao esta funcionando bem ao me ver' 'eu tenho alguma divida antiga ' 'qual e o problema afinal' 'vcs podem me explicar' ' ' 'agosto e setembro' 'tudo bem entendi' 'pq nao concluiu o pagamento q eu tentei fazer ' 'pra saber logo o total da divida' 'e pq eu estou pagando e nao adebate nada ' 'qual a proxima fatura' 'oq significa esse estorno' 'com esse pagamento nao com sucesso' 'pq eu venho pagando sempre as coisas e as faturas' 'tudo bem' 'ahh' 'so essa de setembro' 'pq esta aparecendo estorno na minha fatura e pq mesmo assim estao me cobrando por divida' 'sempre vem pagando isso e nao parece ter fim esses encargos' 'paguei mas nao aparece' 'pq esta aparecendo o sinal de menos  na frente do valor da fatura ' 'pois sempre q pagas as faturas nunca consegui me livrar de tantos custos q vem aparecendo' 'ou nao tem isso' 'agora mesmo esta dizendo q tem uma fatura aberta' 'nao foi autorizado' 'fatura do cartao' 'tenho mais alguma divida aqui  '],213,-0.9146,negativo
8339,16093263,2023-05-01,,,Recebimento de PIX,"24 - Mulher, 25 a 40 anos, Centro-Oeste e Norte","['Problema com Pix','Ok. Um instante','Dos últimos sete dias','O extrato da Conta serve como comprovante de que o dinheiro não caiu?','O Pix não caiu','E pediram Pra que eu entrasse em contato com vocês','Oi Anderson Dia 05/05 eu fiz um PIX no valor de 1500 reais para minha conta no Itaú Mas o valor não caiu na conta Eu entrei em contato em um outro chamado e me disseram que essa transação deveria ter chegado no banco Itaú E se caso eles não reconhecessem a transação eles deveriam emitir um documento informando isso Entrando em contato com o. Itaú e mandando o identificador da transação eles analisaram que essa transação não constava na minha conta','Não não Muito obrigada']",['problema com pix' 'ok um instante' 'dos ultimos sete dias' 'o extrato da conta serve como comprovante de que o dinheiro nao caiu ' 'o pix nao caiu' 'e pediram pra que eu entrasse em contato com voces' 'oi anderson dia  eu fiz um pix no valor de  reais para minha conta no itau mas o valor nao caiu na conta eu entrei em contato em um outro chamado e me disseram que essa transacao deveria ter chegado no banco itau e se caso eles nao reconhecessem a transacao eles deveriam emitir um documento informando isso entrando em contato com o itau e mandando o identificador da transacao eles analisaram que essa transacao nao constava na minha conta' 'nao nao muito obrigada'],123,-0.9571,negativo
8442,16624511,2023-06-01,,,Prevenção à Fraude,"4 - Homem, Solteiro, Até 24 anos, cidade Grande, Capital, do Norte ou Centro-Oeste","['Toda vez me pedem 5 dias úteis','Vou entrar com meu advogado só assim vai ter solução.','Recebi pix e não está sendo somado na conta','O fatura está em atraso por conta','E não resolvem','Desse problema na conta','Minha conta está desde dia 18/04 com problema Não consigo fazer transferências','Quero falar de outro assunto','O dinheiro que e pra pagar a fatura está na conta Mais não consigo pagar nem fazer transferência','.','Já mandei os comprovantes mais mesmo assim não estão na conta','Quanse dois meses pra resolverem e até agora nada']",['toda vez me pedem  dias uteis' 'vou entrar com meu advogado so assim vai ter solucao ' 'recebi pix e nao esta sendo somado na conta' 'o fatura esta em atraso por conta' 'e nao resolvem' 'desse problema na conta' 'minha conta esta desde dia  com problema nao consigo fazer transferencias' 'quero falar de outro assunto' 'o dinheiro que e pra pagar a fatura esta na conta mais nao consigo pagar nem fazer transferencia' ' ' 'ja mandei os comprovantes mais mesmo assim nao estao na conta' 'quanse dois meses pra resolverem e ate agora nada'],97,-0.9413,negativo
8478,17473834,2023-07-01,,,Token 3DS,"20 - Homem, Até 24 anos, Sudeste e Sul","['""o banco precisa validar"" aparece tbm.','Vivo','Ok obg','Estou com a página aberta aqui','E mesmo assim não chega nenhum SMS','Por favor Stefany Hoje o atendimento foi muito ruim','Tentei fazer uma compra online pelo mercado livre. Valor inferior que eu tenho disponível. Mas abre uma página de validação','e que chegaria uma senha (token) para validar','e até agora nada.','O token é o mesmo ?','Tentei hj mesmo','Problema com compra','Compra não autorizada','Aguardando','Novamente tentei fazer a compra e está falando desse token','Reiniciei o celular e nada','Estou tentando comprar pelo mercado livre. Apareceu uma mensagem que eu receberia uma msg do banco pra validar o token','Faz mais ou menos 30 minutos','Mercado livre','Estou tentando efetuar uma compra e não estou conseguindo','Sim estou com sinal','Cartão físico','Não Stefany','obrigado','14997506214','Que token é esse ?','Não  Estou colocando os dados do cartão  Divido as faturas','mas para finalizar aparece que o banco irá me mandar uma msg ""token"" para liberar','Já tentei várias vezes a compra e esse token não vem']","['""o banco precisa validar"" aparece tbm ' 'vivo' 'ok obg' 'estou com a pagina aberta aqui' 'e mesmo assim nao chega nenhum sms' 'por favor stefany hoje o atendimento foi muito ruim' 'tentei fazer uma compra online pelo mercado livre valor inferior que eu tenho disponivel mas abre uma pagina de validacao' 'e que chegaria uma senha (token) para validar' 'e ate agora nada ' 'o token e o mesmo ' 'tentei hj mesmo' 'problema com compra' 'compra nao autorizada' 'aguardando' 'novamente tentei fazer a compra e esta falando desse token' 'reiniciei o celular e nada' 'estou tentando comprar pelo mercado livre apareceu uma mensagem que eu receberia uma msg do banco pra validar o token' 'faz mais ou menos  minutos' 'mercado livre' 'estou tentando efetuar uma compra e nao estou conseguindo' 'sim estou com sinal' 'cartao fisico' 'nao stefany' 'obrigado' ' ' 'que token e esse ' 'nao estou colocando os dados do cartao divido as faturas' 'mas para finalizar aparece que o banco ira me mandar uma msg ""token"" para liberar' 'ja tentei varias vezes a compra e esse token nao vem']",184,-0.9798,negativo
